City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Urengoy,RU,65.9667,78.3667,35.51,87,98,13.49,overcast clouds
291,Paracuru,BR,-3.41,-39.0306,80.11,80,23,15.12,few clouds
292,Qasigiannguit,GL,68.8193,-51.1922,34.05,99,100,2.84,snow
293,Rocha,UY,-34.4833,-54.3333,61.12,84,100,12.93,overcast clouds
294,Nador,MA,35.174,-2.9287,71.85,88,0,2.3,clear sky
295,Salisbury,GB,51.0693,-1.7957,60.44,82,75,13.8,broken clouds
296,Aykhal,RU,66.0,111.5,13.32,96,96,6.15,overcast clouds
297,Pozo Colorado,PY,-23.4923,-58.7972,76.89,72,89,3.67,overcast clouds
298,Denpasar,ID,-8.65,115.2167,76.71,100,40,1.14,scattered clouds
299,Waingapu,ID,-9.6567,120.2641,80.85,80,100,2.84,light rain
300,Marzuq,YE,14.4,46.4667,69.03,25,1,0.72,clear sky
301,Hoquiam,US,46.9809,-123.8893,74.35,64,0,4.61,clear sky
302,Coihaique,CL,-45.5752,-72.0662,66.15,32,0,9.22,clear sky
303,Thompson,CA,55.7435,-97.8558,46.56,42,75,10.36,broken clouds
304,Humaita,BR,-7.5061,-63.0208,76.78,86,91,5.48,overcast clouds
305,Kovur,IN,14.4833,79.9833,79.83,78,99,3.29,overcast clouds
306,Kloulklubed,PW,7.0419,134.2556,75.7,72,92,12.68,overcast clouds
307,Atambua,ID,-9.1061,124.8925,75.6,84,87,2.33,overcast clouds
308,Astoria,US,46.1879,-123.8313,71.71,71,0,6.91,clear sky
309,Homer,US,59.6425,-151.5483,47.77,75,100,5.01,overcast clouds
310,Sterling,US,39.0062,-77.4286,54.39,48,75,16.11,broken clouds
311,Codrington,AU,-38.2667,141.9667,53.15,86,0,4.09,clear sky
312,Lewiston,US,44.1003,-70.2148,61.43,95,75,9.22,broken clouds
313,Jinji,CN,23.2281,110.8261,69.17,25,100,4.76,overcast clouds
314,Khatanga,RU,71.9667,102.5,32.47,97,100,19.82,light snow
315,Tateyama,JP,34.9833,139.8667,59.09,81,100,18.16,overcast clouds
316,Ati,TD,13.2154,18.3353,89.1,17,59,11.27,broken clouds
317,Naze,JP,28.3667,129.4833,68.54,78,100,20.04,overcast clouds
318,Sivaki,RU,52.6333,126.75,28.69,68,19,5.79,few clouds
319,Vanimo,PG,-2.6741,141.3028,77.5,90,100,5.55,overcast clouds
320,Laguna,US,38.421,-121.4238,87.3,41,0,9.22,clear sky
321,Birobidzhan,RU,48.8,132.95,32.07,65,0,7.07,clear sky
322,Dongli,CN,23.5656,116.8194,64.38,77,0,2.24,clear sky
323,Nishihara,JP,26.1842,127.7558,74.48,69,75,24.16,broken clouds
324,Alibunar,RS,45.0808,20.9658,53.55,40,1,7.05,clear sky
325,Necochea,AR,-38.5473,-58.7368,65.59,51,100,13.94,overcast clouds
326,Tiksi,RU,71.6872,128.8694,8.71,92,100,7.11,overcast clouds
327,Foundiougne,SN,14.1333,-16.4667,75.25,66,91,8.95,light rain
328,Saint-Pierre,RE,-21.3393,55.4781,69.48,78,75,11.5,broken clouds
329,Tanabe,JP,33.7333,135.3667,54.36,76,0,8.12,clear sky
330,Santo Antonio Do Ica,BR,-3.1022,-67.9397,81.03,78,99,2.66,overcast clouds
331,Belaya,UA,49.029,25.7706,55.22,72,40,6.02,scattered clouds
332,Greece,US,43.2098,-77.6931,48.45,76,75,9.22,broken clouds
333,Arenzano,IT,44.4052,8.6832,68.45,88,0,4.0,clear sky
334,Dingle,PH,10.9995,122.6711,75.79,93,96,3.89,overcast clouds
335,Natal,BR,-5.795,-35.2094,77.65,88,75,10.36,broken clouds
336,Hambantota,LK,6.1241,81.1185,78.04,83,98,17.96,overcast clouds
337,Pratapgarh,IN,24.0333,74.7833,69.22,58,29,7.27,scattered clouds
338,San Luis,AR,-33.295,-66.3356,60.6,55,100,5.23,overcast clouds
339,Kirensk,RU,57.7853,108.1119,34.3,97,100,7.96,light snow
340,Bitung,ID,1.4451,125.1824,76.05,79,61,1.41,broken clouds
341,Belaya Gora,RU,68.5333,146.4167,2.26,100,95,0.54,overcast clouds
342,Kayes,ML,14.0,-11.0,81.12,58,28,2.73,scattered clouds
343,Hobyo,SO,5.3505,48.5268,77.92,84,100,16.67,overcast clouds
344,Tiarei,PF,-17.5333,-149.3333,84.22,81,20,16.31,light rain
345,Uttarkashi,IN,30.7333,78.45,53.87,74,0,6.51,clear sky
